publication_date,app_name,publication_count
2025-08-31,Hey,1382
2025-08-31,Orb,581
2025-08-31,Soclly,340
2025-08-31,Firefly,79
2025-08-31,Wooo,52
2025-08-31,Fountain,9
2025-08-31,Lemonade,4
2025-08-31,LensForum,2
2025-08-31,Lens Box,2
2025-08-31,Bonsai,2
2025-08-31,Bad Art,1
2025-08-31,Focalize,1
2025-08-31,LoreWeave,1
2025-08-30,Hey,2074
2025-08-30,Orb,600
2025-08-30,Soclly,142
2025-08-30,Firefly,71
2025-08-30,Wooo,47
2025-08-30,Fountain,15
2025-08-30,Lemonade,7
2025-08-30,Lens Box,3
2025-08-30,LensForum,1
2025-08-30,LoreWeave,1
2025-08-30,Bad Art,1
2025-08-30,Bonsai,1
2025-08-29,Hey,2361
2025-08-29,Orb,595
2025-08-29,Soclly,133
2025-08-29,Firefly,103
2025-08-29,Wooo,54
2025-08-29,Fountain,15
2025-08-29,Lemonade,7
2025-08-29,Lens Box,5
2025-08-29,LensForum,2
2025-08-29,Bonsai,1
2025-08-28,Hey,2287
2025-08-28,Orb,543
2025-08-28,Soclly,136
2025-08-28,Firefly,111
2025-08-28,Wooo,51
2025-08-28,Fountain,9
2025-08-28,Lemonade,4
2025-08-28,Bonsai,3
2025-08-28,bloomers.tv,3
2025-08-28,Lens Box,3
2025-08-28,LensForum,2
2025-08-28,Rekt News,1
2025-08-27,Hey,2573
2025-08-27,Orb,533
2025-08-27,Soclly,174
2025-08-27,Firefly,110
2025-08-27,Wooo,62
2025-08-27,Lemonade,19
2025-08-27,Fountain,9
2025-08-27,Lens Box,6
2025-08-27,Bonsai,4
2025-08-27,Bad Art,2
2025-08-27,LensForum,2
2025-08-26,Hey,2395
2025-08-26,Orb,612
2025-08-26,Soclly,223
2025-08-26,Firefly,111
2025-08-26,Wooo,63
2025-08-26,Lemonade,12
2025-08-26,Fountain,9
2025-08-26,Lens Box,4
2025-08-26,LensForum,3
2025-08-26,bloomers.tv,3
2025-08-26,Bonsai,3
2025-08-26,Focalize,1
2025-08-26,Rekt News,1
2025-08-25,Hey,1900
2025-08-25,Orb,545
2025-08-25,Soclly,154
2025-08-25,Firefly,133
2025-08-25,Wooo,55
2025-08-25,Lemonade,24
2025-08-25,Fountain,7
2025-08-25,bloomers.tv,6
2025-08-25,LensForum,5
2025-08-25,Bonsai,4
2025-08-25,Lens Box,1
2025-08-24,Hey,1504
2025-08-24,Orb,608
2025-08-24,Soclly,268
2025-08-24,Firefly,110
2025-08-24,Wooo,62
2025-08-24,Lemonade,24
2025-08-24,Fountain,13
2025-08-24,bloomers.tv,8
2025-08-24,Bonsai,4
2025-08-24,Lens Box,2
2025-08-23,Hey,1782
2025-08-23,Orb,716
2025-08-23,Soclly,173
2025-08-23,Firefly,99
2025-08-23,Wooo,55
2025-08-23,Lemonade,22
2025-08-23,Fountain,12
2025-08-23,LensForum,6
2025-08-23,Lens Box,5
2025-08-23,LoreWeave,4
2025-08-23,bloomers.tv,4
2025-08-23,Bonsai,3
2025-08-23,Believr,1
2025-08-22,Hey,2139
2025-08-22,Orb,614
2025-08-22,Soclly,162
2025-08-22,Firefly,109
2025-08-22,Wooo,52
2025-08-22,Lemonade,24
2025-08-22,Bonsai,15
2025-08-22,Fountain,14
2025-08-22,bloomers.tv,9
2025-08-22,LensForum,6
2025-08-22,Lens Box,3
2025-08-22,Rekt News,1
2025-08-22,LoreWeave,1
2025-08-21,Hey,2032
2025-08-21,Orb,422
2025-08-21,Soclly,161
2025-08-21,Firefly,136
2025-08-21,Wooo,60
2025-08-21,Lemonade,22
2025-08-21,Bonsai,19
2025-08-21,Fountain,17
2025-08-21,LoreWeave,7
2025-08-21,LensForum,2
2025-08-21,Lens Box,1
2025-08-20,Hey,2056
2025-08-20,Orb,592
2025-08-20,Soclly,156
2025-08-20,Firefly,120
2025-08-20,Wooo,65
2025-08-20,Lemonade,31
2025-08-20,Bonsai,26
2025-08-20,Fountain,10
2025-08-20,Lens Box,5
2025-08-20,LoreWeave,2
2025-08-20,LensForum,2
2025-08-20,bloomers.tv,1
2025-08-20,Bad Art,1
2025-08-20,Rekt News,1
2025-08-19,Hey,2114
2025-08-19,Orb,495
2025-08-19,Soclly,131
2025-08-19,Firefly,130
2025-08-19,Wooo,53
2025-08-19,Bonsai,32
2025-08-19,Lemonade,27
2025-08-19,Fountain,11
2025-08-19,Lens Box,4
2025-08-19,Rekt News,1
2025-08-18,Hey,2281
2025-08-18,Orb,569
2025-08-18,Soclly,150
2025-08-18,Firefly,128
2025-08-18,Wooo,79
2025-08-18,Lemonade,29
2025-08-18,Fountain,12
2025-08-18,LoreWeave,6
2025-08-18,Lens Box,3
2025-08-18,Bonsai,2
2025-08-18,Bad Art,2
2025-08-18,LensForum,1
2025-08-18,bloomers.tv,1
2025-08-17,Hey,1959
2025-08-17,Orb,442
2025-08-17,Soclly,139
