publication_date,app_name,publication_count
2025-08-31,Orb,173
2025-08-31,Hey,86
2025-08-31,Soclly,31
2025-08-31,Firefly,20
2025-08-31,Wooo,1
2025-08-30,Orb,173
2025-08-30,Hey,80
2025-08-30,Soclly,35
2025-08-30,Firefly,29
2025-08-30,Lens Box,1
2025-08-30,Fountain,1
2025-08-29,Orb,185
2025-08-29,Hey,85
2025-08-29,Soclly,30
2025-08-29,Firefly,24
2025-08-29,Lens Box,4
2025-08-29,Fountain,2
2025-08-29,LensForum,1
2025-08-29,Wooo,1
2025-08-28,Orb,200
2025-08-28,Hey,109
2025-08-28,Soclly,38
2025-08-28,Firefly,22
2025-08-28,bloomers.tv,3
2025-08-28,Lens Box,2
2025-08-28,Wooo,2
2025-08-28,LensForum,2
2025-08-28,Rekt News,1
2025-08-27,Orb,191
2025-08-27,Hey,102
2025-08-27,Soclly,41
2025-08-27,Firefly,19
2025-08-27,Wooo,4
2025-08-27,Bad Art,2
2025-08-27,Lens Box,2
2025-08-27,Fountain,1
2025-08-27,LensForum,1
2025-08-26,Orb,192
2025-08-26,Hey,93
2025-08-26,Soclly,36
2025-08-26,Firefly,22
2025-08-26,Wooo,4
2025-08-26,LensForum,3
2025-08-26,Lens Box,2
2025-08-26,Rekt News,1
2025-08-25,Orb,155
2025-08-25,Hey,115
2025-08-25,Firefly,32
2025-08-25,Soclly,25
2025-08-25,LensForum,5
2025-08-24,Orb,181
2025-08-24,Hey,64
2025-08-24,Firefly,30
2025-08-24,Soclly,21
2025-08-24,Wooo,9
2025-08-24,bloomers.tv,7
2025-08-24,Fountain,1
2025-08-23,Orb,229
2025-08-23,Hey,78
2025-08-23,Firefly,24
2025-08-23,Soclly,21
2025-08-23,LensForum,6
2025-08-23,Wooo,5
2025-08-23,Lens Box,3
2025-08-23,bloomers.tv,3
2025-08-23,Bonsai,1
2025-08-22,Orb,242
2025-08-22,Hey,115
2025-08-22,Soclly,45
2025-08-22,Firefly,21
2025-08-22,LensForum,6
2025-08-22,Wooo,4
2025-08-22,Bonsai,3
2025-08-22,Fountain,3
2025-08-22,Rekt News,1
2025-08-22,Lens Box,1
2025-08-21,Orb,166
2025-08-21,Hey,115
2025-08-21,Firefly,37
2025-08-21,Soclly,30
2025-08-21,Wooo,7
2025-08-21,Fountain,5
2025-08-21,LensForum,2
2025-08-21,Bonsai,1
2025-08-20,Orb,164
2025-08-20,Hey,100
2025-08-20,Firefly,37
2025-08-20,Soclly,33
2025-08-20,Wooo,12
2025-08-20,Lens Box,4
2025-08-20,LensForum,2
2025-08-20,Bad Art,1
2025-08-20,Rekt News,1
2025-08-19,Orb,177
2025-08-19,Hey,107
2025-08-19,Soclly,30
2025-08-19,Firefly,28
2025-08-19,Wooo,2
2025-08-19,Bonsai,1
2025-08-19,Rekt News,1
2025-08-19,Fountain,1
2025-08-18,Orb,190
2025-08-18,Hey,112
2025-08-18,Soclly,39
2025-08-18,Firefly,29
2025-08-18,Wooo,12
2025-08-18,Lens Box,3
2025-08-18,LensForum,1
2025-08-18,Bad Art,1
2025-08-17,Orb,190
2025-08-17,Hey,101
2025-08-17,Firefly,29
2025-08-17,Soclly,25
2025-08-17,Lens Box,2
2025-08-16,Orb,246
2025-08-16,Hey,80
2025-08-16,Firefly,36
2025-08-16,Soclly,14
2025-08-16,Lens Box,5
2025-08-16,Wooo,4
2025-08-16,Fountain,2
2025-08-15,Orb,213
